MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre_3			Time:	233.76596	Sec	3/4/2021 11:46:56 AM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
204.76059	0.007673413	120.72398	0.00012453728
205.76059	0.0095118992	221.6714	0.00017219673
206.76059	0.015130214	318.4118	0.00024110668
207.76059	0.020087756	406.4386	0.00033040327
208.76059	0.026196068	550.10968	0.00041217834
209.76059	0.030041257	634.29468	0.00048367222
210.76059	0.035463288	709.88617	0.00056176155
211.76059	0.038873084	820.49347	0.0006071321
212.76059	0.044455748	937.41223	0.00072452717
213.76059	0.047504678	1001.3523	0.00076912221
214.76059	0.053194553	1131.8254	0.00085036457
215.76059	0.057046551	1211.6138	0.00095293479
216.76059	0.062377814	1302.9789	0.00099666009
217.76059	0.066083424	1428.2091	0.0010941133
218.76059	0.072144248	1515.2524	0.0011757453
219.76059	0.076421961	1608.3826	0.0012239553
220.76059	0.078597188	1710.8058	0.0012749789
221.76059	0.084792376	1794.2947	0.0013649085
222.76059	0.090154372	1915.4215	0.0014026448
223.76059	0.095221482	2017.6917	0.0015266887
224.76059	0.099415496	2102.9019	0.0015455383
225.76059	0.10540881	2227.2666	0.0016597556
226.76059	0.10921369	2296.198	0.0017285849
227.76059	0.11525685	2430.3462	0.0018023241
228.76059	0.11881944	2518.5261	0.0018803295
229.76059	0.12441567	2621.6738	0.0019853227
230.76059	0.12737527	2702.6575	0.0020004793
231.76059	0.13539706	2830.3293	0.0020951694
232.76059	0.13843596	2913.2908	0.0022081141
233.76059	0.14516822	3020.9138	0.002257938
