MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre 4			Time:	223.15984	Sec	3/4/2021 12:58:16 PM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
194.15446	0.012378628	176.32838	0.00025658825
195.15446	0.020501684	257.66452	0.00039587033
196.15446	0.029175693	399.16449	0.00047564897
197.15446	0.032593478	437.31079	0.00050644972
198.15446	0.040615473	550.41254	0.00064713147
199.15446	0.049099956	652.42731	0.00077241764
200.15446	0.056065019	779.68719	0.00085662911
201.15446	0.061423123	849.80359	0.0009146299
202.15446	0.07117112	956.11255	0.001074104
203.15446	0.076100126	1053.5995	0.0011554017
204.15446	0.081830159	1140.7549	0.0012233141
205.15446	0.089246601	1234.8276	0.0013325711
206.15446	0.098115712	1337.55	0.0014748876
207.15446	0.10384098	1460.5398	0.0015729369
208.15446	0.11227757	1530.1694	0.001647794
209.15446	0.11932828	1616.4758	0.0017377066
210.15446	0.12995352	1748.2312	0.001909068
211.15446	0.13646054	1861.1239	0.0019853236
212.15446	0.14085265	1911.1915	0.0020412314
213.15446	0.15046977	2036.3848	0.002197667
214.15446	0.1568639	2146.2354	0.0023161243
215.15446	0.16379106	2229.3428	0.0023950005
216.15446	0.17114167	2320.5969	0.0024868634
217.15446	0.17830127	2411.6199	0.0025966743
218.15446	0.18576403	2542.2585	0.0027407953
219.15446	0.1924381	2620.4888	0.0028094524
220.15446	0.19955723	2722.5454	0.002921772
221.15446	0.20824011	2816.1284	0.0030572014
222.15446	0.21321665	2915.3394	0.0031257705
223.15446	0.2214822	3016.5298	0.0032272979
