MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre_3			Time:	173.73227	Sec	3/10/2021 7:54:34 AM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
144.72705	0.0031494391	60.368458	3.2045318e-05
145.72705	0.0087507479	156.11539	0.00016446378
146.72705	0.013223057	290.91516	0.00023683358
147.72705	0.020605689	409.03894	0.00034123167
148.72705	0.024270983	458.0527	0.00042588339
149.72705	0.030149203	602.87781	0.00051972218
150.72705	0.036076289	695.45392	0.00057708501
151.72705	0.0415373	795.66376	0.00070498663
152.72705	0.048160348	931.83783	0.00078495045
153.72705	0.051813964	1021.4201	0.00086556817
154.72705	0.056936443	1076.6423	0.00094856665
155.72705	0.062540822	1224.1306	0.0010420704
156.72705	0.067988314	1318.5762	0.0011244806
157.72705	0.075379342	1413.609	0.0012143236
158.72705	0.080117188	1522.0497	0.0012877452
159.72705	0.085249253	1610.2422	0.0013372361
160.72705	0.089977622	1688.6069	0.0014408595
161.72705	0.094703428	1804.9808	0.0015170556
162.72705	0.10141376	1933.1412	0.0015944911
163.72705	0.10774377	2027.668	0.0017214125
164.72705	0.11235473	2133.4893	0.0017798333
165.72705	0.11663742	2227.354	0.0018366287
166.72705	0.12132737	2309.1643	0.0019191679
167.72705	0.12883621	2452.7205	0.0020376469
168.72705	0.13262716	2521.281	0.0020483562
169.72705	0.13623263	2601.7136	0.0021330521
170.72705	0.14415094	2721.3594	0.0022330491
171.72705	0.14749005	2808.4622	0.0022843061
172.72705	0.15214753	2902.9277	0.0023607677
173.72705	0.158989	3008.1118	0.002434595
