MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	632.17645	Sec	4/16/2021 8:07:30 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0250654	-0.084290452	-23.671003
10.025065	-0.1671982	-51.079548
15.025065	-0.24939907	-75.212875
20.025066	-0.33423924	-107.99079
25.025066	-0.41676888	-136.21892
30.025066	-0.49843749	-173.1073
35.025066	-0.58297437	-211.12
40.025066	-0.66750473	-242.25821
45.025066	-0.75137967	-273.68118
50.025066	-0.83325028	-305.51654
55.025066	-0.91555542	-339.42682
60.025066	-1.0009348	-372.82053
65.02507	-1.0815588	-404.11319
70.02507	-1.1667475	-436.45981
75.02507	-1.249581	-469.29019
80.02507	-1.332724	-503.86154
85.02507	-1.4166764	-534.83191
90.02507	-1.500542	-569.58704
95.02507	-1.583373	-601.05255
100.02507	-1.6654025	-635.60175
105.02507	-1.7497969	-666.41083
110.02507	-1.8331376	-701.57129
115.02507	-1.9161873	-735.8244
120.02507	-1.9973387	-767.98328
125.02507	-2.0827258	-802.26569
130.02507	-2.1666877	-837.10266
135.02507	-2.2496471	-871.04279
140.02507	-2.3343503	-904.23859
145.02507	-2.4169776	-941.67853
150.02507	-2.5017443	-978.48096
155.02507	-2.5828381	-1011.783
160.02507	-2.6667941	-1051.4338
165.02507	-2.7495668	-1086.0883
170.02507	-2.8334405	-1120.2085
175.02507	-2.9160819	-1153.6987
180.02507	-2.9993808	-1188.3932
185.02507	-3.0828991	-1220.1099
190.02507	-3.1654875	-1257.051
195.02507	-3.249193	-1290.2062
200.02507	-3.3332021	-1325.1801
205.02507	-3.4160607	-1359.2096
210.02507	-3.4987304	-1392.4424
215.02507	-3.583992	-1425.7111
220.02507	-3.6680059	-1460.8878
225.02507	-3.7486222	-1494.3398
230.02507	-3.830766	-1525.7501
235.02507	-3.9168408	-1561.0527
240.02507	-3.9976923	-1591.6862
245.02507	-4.0837359	-1626.8163
250.02507	-4.1649146	-1660.1479
255.02507	-4.250216	-1694.4182
260.02509	-4.3315644	-1728.4
265.02509	-4.4162579	-1763.6704
270.02509	-4.4981985	-1791.4407
275.02509	-4.5826287	-1828.696
280.02509	-4.6663918	-1858.7048
285.02509	-4.7497659	-1894.0961
290.02509	-4.833066	-1933.423
295.02509	-4.9144888	-1963.5178
300.02509	-4.9985347	-1997.2358
305.02509	-5.0828362	-2029.6851
310.02509	-5.165833	-2062.1174
315.02509	-5.2491088	-2092.3296
320.02509	-5.3329315	-2125.7961
325.02509	-5.4166026	-2158.4419
330.02509	-5.4991794	-2188.5706
335.02509	-5.5816612	-2217.1946
340.02509	-5.6647768	-2249.4583
345.02509	-5.7488441	-2284.5835
350.02509	-5.8315058	-2314.9917
355.02509	-5.9165268	-2347.7979
360.02509	-5.999424	-2377.3186
365.02509	-6.0819168	-2407.0193
370.02509	-6.1659384	-2436.6633
375.02509	-6.2489843	-2467.9783
380.02509	-6.3329325	-2499.3423
385.02509	-6.4159417	-2529.6963
390.02509	-6.4986033	-2554.811
395.02509	-6.583086	-2588.8213
400.02509	-6.6669154	-2617.3743
405.02509	-6.7481136	-2644.7727
410.02509	-6.8308134	-2673.7673
415.02509	-6.9152522	-2702.8257
420.02509	-6.9982686	-2732.3247
425.02509	-7.0803556	-2752.9497
430.02509	-7.1651931	-2793.5994
435.02509	-7.2478509	-2821.0374
440.02509	-7.3330693	-2850.8716
445.02509	-7.4156747	-2877.771
450.02509	-7.4982781	-2905.5112
455.02509	-7.582037	-2934.7061
460.02509	-7.6647911	-2959.6553
465.02509	-7.7485371	-2983.8257
470.02509	-7.8303237	-3006.7891
475.02509	-7.9123487	-3028.8601
480.02509	-7.9988413	-3064.3865
485.02509	-8.0818062	-3089.656
490.02509	-8.1650419	-3112.9377
495.02509	-8.2480993	-3139.4517
500.02509	-8.3297586	-3159.8037
505.02509	-8.4155455	-3184.0154
510.02509	-8.4978685	-3212.3635
515.02509	-8.5827236	-3235.1387
520.02509	-8.6650114	-3259.8904
525.02509	-8.750123	-3294.2759
530.02509	-8.8307753	-3307.9133
535.02509	-8.9149256	-3336.5498
540.02509	-8.9965429	-3352.2134
545.02509	-9.0823574	-3373.6824
550.02509	-9.1636944	-3394.7314
555.02509	-9.2481995	-3427.3669
560.02509	-9.3320341	-3443.6223
565.02509	-9.4134502	-3460.8735
570.02509	-9.4959402	-3483.4756
575.02509	-9.5804596	-3503.5759
580.02509	-9.6635113	-3528.6438
585.02509	-9.7479458	-3547.5854
590.02509	-9.8308191	-3566.9849
595.02509	-9.9151688	-3590.4229
600.02509	-9.9987059	-3604.3838
605.02509	-10.080654	-3619.7458
610.02509	-10.164906	-3645.842
615.02509	-10.248898	-3669.6875
620.02509	-10.332139	-3685.9688
625.02509	-10.415754	21.890945
630.02509	-10.498013	20.318848
