MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A									
									
Data Acquisition		Extensometre				Time:	30.032879	Sec	3/1/2021 7:22
Time	Ch Disp.	Ch Force	Ch Extensometer						
Sec	mm	N	mm/mm						
1.0260417	0.005933729	98.814064	0.000128958						
2.0260417	0.008738379	197.0528	0.000226488						
3.0260417	0.015058395	288.5329	0.000303613						
4.026042	0.019387176	385.02081	0.000413073						
5.026042	0.025531344	489.55685	0.000499875						
6.026042	0.030484328	593.47089	0.000575996						
7.026042	0.035658233	692.39819	0.000662047						
8.026042	0.041574307	821.32629	0.000766757						
9.026042	0.048482411	930.48273	0.000853404						
10.026042	0.0525475	1016.1865	0.00092342						
11.026042	0.056547023	1103.2147	0.00099858						
12.026042	0.061528895	1208.1333	0.001079024						
13.026042	0.066723034	1310.6615	0.001176584						
14.026042	0.07224182	1402.1947	0.001255894						
15.026042	0.076822467	1496.3743	0.001335541						
16.026043	0.082162336	1602.1409	0.001416199						
17.026043	0.087309763	1698.4355	0.001517461						
18.026043	0.092874855	1792.9474	0.001591041						
19.026043	0.098067001	1897.1554	0.001691049						
20.026043	0.10380046	1987.3738	0.001769784						
21.026043	0.10941806	2096.7502	0.001862327						
22.026043	0.11548965	2199.5613	0.00194216						
23.026043	0.12031232	2297.5957	0.002014427						
24.026043	0.12654746	2408.1572	0.002111686						
25.026043	0.13089243	2506.7622	0.002201789						
26.026043	0.13557459	2603.0674	0.002278636						
27.026043	0.14194475	2707.3516	0.002362434						
28.026043	0.1474741	2813.6702	0.002456143						
29.026043	0.15260892	2902.3301	0.002533751						
30.026043	0.15898073	3012.0562	0.00261134						
