MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A									
									
Data Acquisition						Time:	638.52783	Sec	3/31/2021 8:49
Time	Ch Disp.	Ch Force							
Sec	mm	N							
5.025228	-0.083878592	-20.591749							
10.025229	-0.1656557	-44.233879							
15.025229	-0.24961433	-69.328346							
20.025229	-0.33317664	-96.089851							
25.025229	-0.41490063	-124.32473							
30.025229	-0.49921808	-159.65776							
35.02523	-0.58191729	-196.36761							
40.02523	-0.66689599	-225.51424							
45.02523	-0.75084209	-257.98685							
50.02523	-0.8330844	-289.05908							
55.02523	-0.91829765	-321.85889							
60.02523	-0.99981141	-353.26736							
65.02523	-1.0824811	-386.79016							
70.02523	-1.1668781	-418.62613							
75.02523	-1.2493674	-448.70166							
80.02523	-1.3341128	-480.00214							
85.02523	-1.4161509	-512.88666							
90.02523	-1.4977254	-545.23712							
95.02523	-1.5839648	-579.60046							
100.02523	-1.6660924	-610.99902							
105.02523	-1.7510858	-642.24194							
110.02523	-1.8320742	-674.13428							
115.02523	-1.9173814	-708.09949							
120.02523	-1.998939	-740.58051							
125.02523	-2.0840862	-774.74823							
130.02524	-2.1633346	-808.93854							
135.02524	-2.2524357	-842.68555							
140.02524	-2.3327217	-873.93066							
145.02524	-2.4149106	-912.98169							
150.02524	-2.4984052	-946.63397							
155.02524	-2.5838642	-981.73364							
160.02524	-2.6648972	-1011.9587							
165.02524	-2.7490015	-1052.2098							
170.02524	-2.8334827	-1086.2577							
175.02524	-2.9148204	-1119.9209							
180.02524	-2.9990504	-1155.7345							
185.02524	-3.0837638	-1187.3536							
190.02524	-3.1665592	-1219.2225							
195.02524	-3.2507334	-1255.1736							
200.02524	-3.3342438	-1287.5765							
205.02524	-3.41643	-1319.8738							
210.02524	-3.4992194	-1356.2894							
215.02524	-3.5853019	-1387.2889							
220.02524	-3.6665945	-1419.4487							
225.02524	-3.7473974	-1452.4932							
230.02524	-3.830559	-1482.3138							
235.02524	-3.916888	-1518.7552							
240.02524	-3.9989946	-1551.1919							
245.02524	-4.0814281	-1580.7188							
250.02524	-4.1653538	-1613.717							
255.02524	-4.2491751	-1643.7472							
260.02524	-4.3322997	-1676.1982							
265.02524	-4.415565	-1710.6514							
270.02524	-4.4969893	-1740.0408							
275.02524	-4.5814023	-1771.1715							
280.02524	-4.6644573	-1802.7045							
285.02524	-4.7494726	-1835.5664							
290.02524	-4.8317666	-1867.3672							
295.02524	-4.9152956	-1904.0592							
300.02524	-4.9980245	-1933.4894							
305.02524	-5.081656	-1967.6569							
310.02524	-5.1669402	-1996.5952							
315.02524	-5.2490711	-2027.0238							
320.02524	-5.3310456	-2056.5857							
325.02524	-5.4131856	-2087.168							
330.02524	-5.4999695	-2116.0183							
335.02524	-5.5814047	-2145.0522							
340.02524	-5.6640296	-2176.8748							
345.02524	-5.7482586	-2201.5737							
350.02524	-5.8312821	-2233.0315							
355.02524	-5.915472	-2265.8191							
360.02524	-5.9977927	-2289.3887							
365.02524	-6.081068	-2319.2021							
370.02524	-6.1651402	-2346.5203							
375.02524	-6.2483549	-2373.7322							
380.02524	-6.331243	-2401.7788							
385.02524	-6.413765	-2432.5942							
390.02524	-6.499074	-2465.7087							
395.02524	-6.5815635	-2485.7842							
400.02524	-6.663805	-2517.0076							
405.02524	-6.7472205	-2541.0386							
410.02524	-6.8309169	-2572.1196							
415.02524	-6.9131145	-2600.0376							
420.02524	-6.9992681	-2628.2773							
425.02524	-7.0816331	-2659.457							
430.02524	-7.1653252	-2681.1694							
435.02524	-7.2462034	-2703.0566							
440.02524	-7.333189	-2733.4905							
445.02524	-7.415307	-2762.624							
450.02524	-7.4967484	-2785.8071							
455.02524	-7.5818868	-2812.842							
460.02524	-7.6645784	-2842.885							
465.02524	-7.7469597	-2861.5354							
470.02524	-7.8307123	-2884.0349							
475.02524	-7.9132767	-2901.6943							
480.02524	-7.9992561	-2934.7864							
485.02524	-8.0804996	-2948.5618							
490.02524	-8.1627274	-2966.6731							
495.02524	-8.2471781	-2987.9727							
500.02524	-8.3316555	-3012.9072							
505.02524	-8.413516	-3029.5725							
510.02524	-8.4975176	-3049.5137							
515.02527	-8.5795031	-3063.2598							
520.02527	-8.6641464	-3081.0723							
525.02527	-8.7477751	-3106.6458							
530.02527	-8.8306379	-3122.2612							
535.02527	-8.9128132	-3135.4648							
540.02527	-8.9967308	-3155.9626							
545.02527	-9.0795431	-3174.0342							
550.02527	-9.1652536	-3191.1289							
555.02527	-9.2474604	-3200.7646							
560.02527	-9.3297338	-3218.2698							
565.02527	-9.4145079	-3233.1777							
570.02527	-9.4972057	-3255.5591							
575.02527	-9.580905	-3263.9746							
580.02527	-9.6632986	-3273.6604							
585.02527	-9.7453938	-3286.7507							
590.02527	-9.8307333	-3301.9944							
595.02527	-9.9139509	-3301.9944							
600.02527	-9.99751	-3300							
605.02527	-10.078782	-3310							
610.02527	-10.164371	-3320							
615.02527	-10.245653	-3330							
620.02527	-10.330404	-3340							
625.02527	-10.412868	-3350							
630.02527	-10.496954	-2594.7864							
635.02527	-10.58127	-2720.2002							
