MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	525.46765	Sec	4/16/2021 8:49:22 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0245771	-0.082594588	-20.427767
10.024577	-0.16441533	-47.174126
15.024577	-0.24572407	-73.74585
20.024578	-0.32995662	-104.15749
25.024578	-0.41562888	-132.91119
30.024578	-0.4990277	-164.76619
35.024578	-0.58165383	-202.34933
40.024578	-0.66558707	-238.63972
45.024578	-0.74805629	-277.63312
50.024578	-0.83124912	-311.82315
55.024578	-0.91601771	-351.005
60.024578	-0.99811357	-388.7778
65.024582	-1.0821136	-427.39288
70.024582	-1.1647238	-467.0256
75.024582	-1.2484853	-503.36313
80.024582	-1.3310146	-540.77679
85.024582	-1.4159118	-581.28723
90.024582	-1.4989992	-616.45386
95.024582	-1.5834823	-655.19635
100.02458	-1.6630373	-690.14618
105.02458	-1.7492379	-729.40985
110.02458	-1.8301737	-767.84515
115.02458	-1.9163152	-808.41125
120.02458	-1.9977392	-845.74872
125.02458	-2.0798135	-885.09351
130.02458	-2.1641195	-924.36987
135.02458	-2.2464666	-967.20813
140.02458	-2.3315935	-1006.5132
145.02458	-2.4147761	-1047.8455
150.02458	-2.4981642	-1091.1971
155.02458	-2.5826385	-1132.5454
160.02458	-2.6662033	-1171.9087
165.02458	-2.7495506	-1211.2222
170.02458	-2.8318226	-1250.1638
175.02458	-2.9147768	-1289.1241
180.02458	-2.9986801	-1329.5511
185.02458	-3.0796709	-1367.5955
190.02458	-3.1638153	-1409.8414
195.02458	-3.2474549	-1448.6301
200.02458	-3.3306859	-1488.4769
205.02458	-3.4137566	-1528.5281
210.02458	-3.4962177	-1566.4346
215.02458	-3.5815365	-1608.4651
220.02458	-3.6656458	-1647.1682
225.02458	-3.7475896	-1684.2102
230.02458	-3.8307326	-1729.6337
235.02458	-3.914536	-1768.1548
240.02458	-3.9982791	-1808.3011
245.02458	-4.0817456	-1846.327
250.02458	-4.165339	-1886.8335
255.02458	-4.2477455	-1932.635
260.0246	-4.3294926	-1968.4017
265.0246	-4.4134941	-2006.5443
270.0246	-4.4966397	-2043.1816
275.0246	-4.5799894	-2085.6143
280.0246	-4.6637921	-2124.2664
285.0246	-4.7484603	-2164.8889
290.0246	-4.8298283	-2199.0264
295.0246	-4.9153056	-2241.5398
300.0246	-4.9983659	-2281.1936
305.0246	-5.079576	-2316.4658
310.0246	-5.1630597	-2352.1729
315.0246	-5.2463136	-2388.8022
320.0246	-5.3304467	-2426.8523
325.0246	-5.4128547	-2463.8953
330.0246	-5.4962506	-2501.6389
335.0246	-5.5801167	-2540.6072
340.0246	-5.6616945	-2577.1353
345.0246	-5.7462344	-2612.2363
350.0246	-5.8299494	-2652.7905
355.0246	-5.9123693	-2689.3801
360.0246	-5.994772	-2724.283
365.0246	-6.0793223	-2756.7288
370.0246	-6.1625519	-2793.967
375.0246	-6.2458715	-2838.4692
380.0246	-6.3276052	-2871.8975
385.0246	-6.4126401	-2909.1855
390.0246	-6.4956865	-2945.908
395.0246	-6.5796332	-2980.3379
400.0246	-6.6627092	-3016.125
405.0246	-6.7456532	-3052.3945
410.0246	-6.8296885	-3083.1831
415.0246	-6.9134808	-3118.4087
420.0246	-6.9955645	-3154.7178
425.0246	-7.0785151	-3186.4307
430.0246	-7.1622725	-3217.7119
435.0246	-7.2450643	-3252.8047
440.0246	-7.3294277	-3288.9331
445.0246	-7.4112601	-3316.8069
450.0246	-7.4932427	-3346.6208
455.0246	-7.5791264	-3385.9221
460.0246	-7.6606078	-3410.0554
465.0246	-7.7450857	-3448.499
470.0246	-7.8283463	-3406.9487
475.0246	-7.9105186	-3434.2947
480.0246	-7.9935579	-3470.1755
485.0246	-8.0782146	-3494.9021
490.0246	-8.1631861	-3527.9536
495.0246	-8.2444086	-3496.7998
500.0246	-8.3267059	-3541.3018
505.0246	-8.4109735	-3569.0376
510.0246	-8.4950132	-3587.6929
515.0246	-8.5760164	-3598.4109
520.0246	-8.6593761	-2085.5483
525.0246	-8.7433548	-2123.9771
