MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre_1			Time:	30.04476	Sec	3/10/2021 7:11:20 AM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
1.0362957	0.0060437322	158.75899	9.0994145e-05
2.0362957	0.012576834	259.83475	0.00013376873
3.0362957	0.016939424	358.07843	0.00020919857
4.0362959	0.02328833	457.68835	0.00031567604
5.0362959	0.028769983	557.04083	0.00041551839
6.0362959	0.035691403	653.99719	0.00051040237
7.0362959	0.040239267	753.02167	0.00060760853
8.0362959	0.046993036	854.44598	0.00070147833
9.0362959	0.051424932	953.44312	0.00078265433
10.036296	0.058257379	1051.7073	0.00089274067
11.036296	0.063552581	1149.4869	0.00095890946
12.036296	0.06874831	1248.8008	0.0010556877
13.036296	0.076292545	1349.2131	0.0011402739
14.036296	0.081725433	1449.7585	0.0012365982
15.036296	0.087611593	1547.223	0.0013181993
16.036297	0.09196128	1643.3485	0.0013867756
17.036297	0.098228842	1742.1324	0.001486593
18.036297	0.10419142	1830.9607	0.0015666368
19.036297	0.10967682	1925.1162	0.0016506895
20.036297	0.11506934	2022.576	0.0017342287
21.036297	0.11938301	2123.3948	0.0018243284
22.036297	0.12714455	2227.7666	0.0019133147
23.036297	0.1311039	2327.1487	0.0019974634
24.036297	0.13737592	2423.657	0.0020677331
25.036297	0.1445346	2523.5962	0.0021818571
26.036297	0.14974375	2618.7271	0.0022609145
27.036297	0.15510719	2717.0254	0.0023436239
28.036297	0.16000874	2817.4858	0.0024023745
29.036297	0.1666027	2919.4746	0.0025023837
30.036297	0.17218885	3019.7432	0.0025847387
