MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre_1			Time:	30.032064	Sec	3/10/2021 8:07:11 AM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
1.0249023	0.0064871516	150.24582	8.3197323e-05
2.0249023	0.015082225	270.88846	0.00023204779
3.0249023	0.020428291	358.76849	0.00029255747
4.0249023	0.026178043	466.88116	0.00040651552
5.0249023	0.032422815	556.90796	0.00050640473
6.0249023	0.039373893	649.23657	0.00060051831
7.0249023	0.046215817	771.01324	0.00071125344
8.0249023	0.052986182	855.36078	0.00082087319
9.0249023	0.059297338	967.54388	0.00091376028
10.024902	0.065166645	1065.222	0.0010132308
11.024902	0.070179917	1125.6108	0.0011025018
12.024902	0.077162392	1269.8412	0.001224597
13.024902	0.081264362	1346.9471	0.0012864907
14.024902	0.08791241	1434.1396	0.0013966898
15.024902	0.093408249	1541.6957	0.0015184685
16.024902	0.10025299	1637.2582	0.0015981548
17.024902	0.10800899	1742.4531	0.0017023018
18.024902	0.11602304	1869.7434	0.0018496832
19.024902	0.12128131	1944.7694	0.0019067643
20.024902	0.12657262	2011.4589	0.0020196077
21.024902	0.13443378	2169.7461	0.0021265892
22.024902	0.13882996	2238.6599	0.0022042
23.024902	0.14475797	2313.8921	0.0022639488
24.024902	0.15131526	2441.1267	0.0023459757
25.024902	0.15787679	2521.4768	0.0024239514
26.024902	0.16487688	2633.0188	0.002549757
27.024902	0.17057762	2732.8826	0.0026668981
28.024902	0.17753981	2829.1353	0.0027509402
29.024902	0.1848956	2926.5188	0.002852184
30.024902	0.19125004	3046.1074	0.0029379975
