MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	413.82343	Sec	3/24/2021 7:02:37 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.025228	-0.085218288	-14.962786
10.025229	-0.16678877	-28.774025
15.025229	-0.25452211	-51.801517
20.025229	-0.33560884	-67.240768
25.025229	-0.41644087	-82.793381
30.025229	-0.50531149	-98.11322
35.02523	-0.59294361	-116.20818
40.02523	-0.67237103	-128.00574
45.02523	-0.75613266	-145.50237
50.02523	-0.84021002	-162.90697
55.02523	-0.91402537	-178.56146
60.02523	-1.0096097	-198.95656
65.02523	-1.0889603	-216.32573
70.02523	-1.1665239	-232.0833
75.02523	-1.252561	-250.38112
80.02523	-1.3432633	-273.02707
85.02523	-1.4173737	-289.51328
90.02523	-1.4997079	-305.60168
95.02523	-1.5861522	-325.16467
100.02523	-1.671836	-345.16803
105.02523	-1.7531801	-361.54831
110.02523	-1.8360457	-379.58115
115.02523	-1.9227831	-399.28143
120.02523	-2.0046732	-417.79385
125.02523	-2.0801947	-436.22812
130.02524	-2.1716032	-453.74548
135.02524	-2.2520621	-471.32474
140.02524	-2.334826	-489.58093
145.02524	-2.4177635	-504.33194
150.02524	-2.4964008	-518.54303
155.02524	-2.5820136	-537.95209
160.02524	-2.6669106	-560.52136
165.02524	-2.7507153	-578.67822
170.02524	-2.8356893	-595.27057
175.02524	-2.9151175	-608.4765
180.02524	-2.9971933	-627.33209
185.02524	-3.0833271	-646.58075
190.02524	-3.1636555	-659.57751
195.02524	-3.2490275	-675.82245
200.02524	-3.3301437	-695.74896
205.02524	-3.4145532	-709.75983
210.02524	-3.5018589	-730.61353
215.02524	-3.582195	-744.98682
220.02524	-3.6654809	-758.70197
225.02524	-3.7446673	-772.97943
230.02524	-3.8318663	-792.28339
235.02524	-3.9170463	-809.87042
240.02524	-3.9968162	-824.5484
245.02524	-4.0816402	-842.51495
250.02524	-4.1648717	-855.02087
255.02524	-4.2477651	-871.27325
260.02524	-4.3318267	-885.56775
265.02524	-4.4122415	-905.57458
270.02524	-4.4978833	-919.71362
275.02524	-4.5795574	-935.10699
280.02524	-4.6617613	-949.22339
285.02524	-4.7488971	-967.64844
290.02524	-4.8286419	-976.56616
295.02524	-4.9148111	-994.48901
300.02524	-4.9968581	-1006.732
305.02524	-5.0831194	-1023.335
310.02524	-5.1613941	-1030.2115
315.02524	-5.2465534	-1045.9578
320.02524	-5.3320713	-1063.3352
325.02524	-5.4134479	-1074.6337
330.02524	-5.4970813	-1084.1945
335.02524	-5.5801272	-1095.262
340.02524	-5.6620307	-1106.6522
345.02524	-5.7466235	-1115.9534
350.02524	-5.8298573	-1129.105
355.02524	-5.9140482	-1134.4408
360.02524	-5.9966516	-1147.275
365.02524	-6.0804787	-1155.7444
370.02524	-6.1632094	-1002.8727
375.02524	-6.2476892	-1018.6659
380.02524	-6.3296981	-1014.8947
385.02524	-6.413856	-1018.1436
390.02524	-6.4963198	-1023.4594
395.02524	-6.5776873	-1019.9092
400.02524	-6.6625948	-1011.0195
405.02524	-6.7449889	-1006.0091
410.02524	-6.8281255	-995.74634
