MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	374.91699	Sec	3/24/2021 7:58:01 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0245771	-0.081672736	-32.243469
10.024577	-0.16571784	-58.130318
15.024577	-0.24965388	-78.518089
20.024578	-0.33038142	-98.944389
25.024578	-0.41427833	-119.2518
30.024578	-0.50015253	-141.09671
35.024578	-0.58021808	-160.74226
40.024578	-0.66564441	-181.45567
45.024578	-0.74731511	-199.94228
50.024578	-0.83115649	-221.66747
55.024578	-0.91560262	-241.16449
60.024578	-0.9988094	-261.29938
65.024582	-1.0810193	-281.96933
70.024582	-1.1649624	-304.13498
75.024582	-1.248847	-323.03461
80.024582	-1.330879	-341.34924
85.024582	-1.4142872	-363.46405
90.024582	-1.4985169	-384.84381
95.024582	-1.5807046	-404.35107
100.02458	-1.6637259	-424.07123
105.02458	-1.7500385	-443.83588
110.02458	-1.8302041	-465.15601
115.02458	-1.9142165	-485.11713
120.02458	-1.9978032	-504.38565
125.02458	-2.0810523	-522.59131
130.02458	-2.1665661	-542.51636
135.02458	-2.2479608	-562.10803
140.02458	-2.3314745	-582.64771
145.02458	-2.4150193	-599.37317
150.02458	-2.497287	-618.46777
155.02458	-2.5812335	-638.19073
160.02458	-2.6645055	-655.29846
165.02458	-2.7474012	-674.8869
170.02458	-2.8311658	-692.83063
175.02458	-2.9155245	-709.68732
180.02458	-2.9987097	-731.59656
185.02458	-3.0840688	-747.74158
190.02458	-3.1653714	-763.76428
195.02458	-3.2478805	-780.41437
200.02458	-3.3317063	-795.17804
205.02458	-3.4150844	-812.49164
210.02458	-3.4958994	-829.89008
215.02458	-3.5814517	-844.98865
220.02458	-3.6645646	-859.52332
225.02458	-3.7481482	-876.07892
230.02458	-3.8303094	-890.27728
235.02458	-3.9142926	-905.13275
240.02458	-3.9970253	-923.61438
245.02458	-4.0834384	-942.3161
250.02458	-4.1641016	-952.53564
255.02458	-4.2486501	-968.90668
260.0246	-4.3325052	-981.89539
265.0246	-4.4150333	-992.8692
270.0246	-4.498735	-1008.0778
275.0246	-4.5798354	-1016.7592
280.0246	-4.6646452	-1031.05
285.0246	-4.7488422	-1041.9005
290.0246	-4.8318868	-1052.5559
295.0246	-4.9155445	-1062.9607
300.0246	-4.9968181	-1070.7644
305.0246	-5.0819464	-1081.2313
310.0246	-5.1652989	-1092.7152
315.0246	-5.248199	-1102.0266
320.0246	-5.331182	-1111.3014
325.0246	-5.4147291	-1121.2877
330.0246	-5.499011	-1130.5326
335.0246	-5.5810328	-1139.0192
340.0246	-5.6677942	-1149.7126
345.0246	-5.7474575	-1154.4803
350.0246	-5.8310614	-1160.4965
355.0246	-5.9153476	-1168.0339
360.0246	-5.9987202	-1172.338
365.0246	-6.0801182	-1173.1432
370.0246	-6.163197	23.441502
