MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	456.08188	Sec	3/17/2021 7:35:46 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0244141	-0.085552298	-11.527052
10.024414	-0.166862	-26.305119
15.024414	-0.25069046	-40.724247
20.024414	-0.33556712	-56.568275
25.024414	-0.41822249	-71.040016
30.024414	-0.49924099	-86.512825
35.024414	-0.58377624	-104.19489
40.024414	-0.66627628	-120.54078
45.024414	-0.75070375	-146.10451
50.024414	-0.83433741	-164.08022
55.024414	-0.91798145	-180.04758
60.024414	-1.0006006	-199.26752
65.024414	-1.0838991	-219.06824
70.024414	-1.1672965	-235.20853
75.024414	-1.2497215	-253.26434
80.024414	-1.3352194	-272.32816
85.024414	-1.4153353	-290.11349
90.024414	-1.5009438	-308.67633
95.024414	-1.5855597	-327.00879
100.02441	-1.6670245	-346.22098
105.02441	-1.7506596	-364.68686
110.02441	-1.8335383	-383.30151
115.02441	-1.9158334	-401.9715
120.02441	-2.0012031	-421.52872
125.02441	-2.0848391	-440.39972
130.02441	-2.1667089	-457.60043
135.02441	-2.2506902	-475.5903
140.02441	-2.333003	-494.46625
145.02441	-2.4151237	-515.62201
150.02441	-2.5013771	-534.78705
155.02441	-2.5834491	-551.99274
160.02441	-2.6681828	-572.44006
165.02441	-2.751389	-589.90906
170.02441	-2.8334761	-608.53845
175.02441	-2.9164793	-628.60718
180.02441	-3.0005105	-647.77057
185.02441	-3.0844791	-665.33051
190.02441	-3.168067	-683.66443
195.02441	-3.2500732	-699.8078
200.02441	-3.3323364	-718.24371
205.02441	-3.4170368	-737.84033
210.02441	-3.501472	-754.79376
215.02441	-3.5828555	-769.96423
220.02441	-3.6679909	-791.84052
225.02441	-3.7484083	-806.85541
230.02441	-3.8326905	-826.00488
235.02441	-3.9162803	-843.23303
240.02441	-3.999855	-861.03625
245.02441	-4.0830307	-878.63635
250.02441	-4.1672554	-893.41785
255.02441	-4.2494793	-908.83051
260.02441	-4.3334494	-925.77631
265.02441	-4.4167271	-944.69611
270.02441	-4.4986401	-959.91241
275.02441	-4.5827975	-976.48859
280.02441	-4.6683116	-990.0744
285.02441	-4.749908	-1009.3876
290.02441	-4.833014	-1028.663
295.02441	-4.9163575	-1040.9441
300.02441	-5.000071	-1057.5313
305.02441	-5.0847945	-1072.5812
310.02441	-5.1681962	-1085.8517
315.02441	-5.2524099	-1102.329
320.02441	-5.3361864	-1116.432
325.02441	-5.4161143	-1125.7576
330.02441	-5.5003839	-1136.103
335.02441	-5.5832076	-1150.2119
340.02441	-5.6659951	-1160.9122
345.02441	-5.7508793	-1174.385
350.02441	-5.8347006	-1185.734
355.02441	-5.9159966	-1195.431
360.02441	-5.9997373	-1204.458
365.02441	-6.0836296	-1210.9432
370.02441	-6.1661501	-1194.0598
375.02441	-6.2488618	-1205.9205
380.02441	-6.3331199	-1215.243
385.02441	-6.4167809	-1227.3817
390.02441	-6.4998231	-1228.306
395.02441	-6.5831447	-1234.6438
400.02441	-6.6670728	-1211.4486
405.02441	-6.7484832	-1036.6763
410.02441	-6.834434	-1049.0017
415.02441	-6.9160776	-1051.4546
420.02441	-6.999959	-1043.9542
425.02441	-7.0832171	-1041.0659
430.02441	-7.1661644	-1025.6938
435.02441	-7.2514801	-919.63568
440.02441	-7.3340154	-895.77545
445.02441	-7.418366	-892.90967
450.02441	-7.5017176	-880.96619
455.02441	-7.5836306	-553.43201
