MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	457.3999	Sec	3/17/2021 8:29:51 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0250654	-0.084385805	-12.851588
10.025065	-0.16610549	-24.475836
15.025065	-0.24930634	-40.468136
20.025066	-0.33483744	-52.214046
25.025066	-0.41563815	-67.537354
30.025066	-0.49953797	-83.807846
35.025066	-0.58326238	-101.44425
40.025066	-0.66833538	-125.40323
45.025066	-0.75022918	-139.29259
50.025066	-0.83271003	-155.84433
55.025066	-0.91667259	-172.46761
60.025066	-1.0001374	-191.53307
65.02507	-1.0840921	-210.18889
70.02507	-1.1649052	-227.9509
75.02507	-1.2501595	-248.06735
80.02507	-1.3337998	-268.26477
85.02507	-1.4168981	-286.03745
90.02507	-1.4990792	-306.5383
95.02507	-1.5827993	-325.63431
100.02507	-1.6648822	-343.30038
105.02507	-1.7501713	-365.31335
110.02507	-1.8316199	-381.74585
115.02507	-1.9176652	-402.29816
120.02507	-1.9984876	-424.16953
125.02507	-2.0827346	-441.83212
130.02507	-2.1666374	-460.76846
135.02507	-2.2525032	-482.4054
140.02507	-2.3346901	-502.93005
145.02507	-2.4158347	-522.44897
150.02507	-2.5010695	-541.94598
155.02507	-2.5844426	-561.78827
160.02507	-2.6664493	-579.45636
165.02507	-2.7493968	-597.0191
170.02507	-2.8341587	-618.69324
175.02507	-2.9174788	-637.28149
180.02507	-3.0001335	-654.56171
185.02507	-3.0835536	-672.33374
190.02507	-3.1669433	-693.11493
195.02507	-3.2492259	-711.55585
200.02507	-3.3332372	-731.00122
205.02507	-3.4158032	-747.7981
210.02507	-3.5020618	-765.29797
215.02507	-3.5829659	-782.81262
220.02507	-3.6664877	-803.80157
225.02507	-3.7507319	-821.50543
230.02507	-3.8329692	-839.69196
235.02507	-3.9162765	-857.28577
240.02507	-4.0025849	-873.96313
245.02507	-4.0829945	-890.56219
250.02507	-4.1669126	-908.4873
255.02507	-4.2484679	-926.17822
260.02509	-4.3339229	-943.96704
265.02509	-4.4161811	-960.6745
270.02509	-4.4996886	-982.4209
275.02509	-4.5830822	-998.22961
280.02509	-4.6681061	-1015.5043
285.02509	-4.7500405	-1032.4395
290.02509	-4.831882	-1045.1884
295.02509	-4.9149842	-1064.2798
300.02509	-5.000247	-1078.3547
305.02509	-5.0834618	-1094.969
310.02509	-5.1683807	-1111.3666
315.02509	-5.2496052	-1123.1451
320.02509	-5.3336124	-1141.9291
325.02509	-5.4163833	-1147.13
330.02509	-5.5004539	-1159.656
335.02509	-5.5827208	-1170.8607
340.02509	-5.6676545	-1185.3025
345.02509	-5.7482724	-1191.1586
350.02509	-5.8330383	-1124.063
355.02509	-5.917017	-1077.1157
360.02509	-6.0011129	-1090.5857
365.02509	-6.0832095	-1100.7505
370.02509	-6.1671739	-1110.5911
375.02509	-6.2493248	-1117.2725
380.02509	-6.334084	-1129.3899
385.02509	-6.4172268	-1134.8888
390.02509	-6.4992142	-1131.9276
395.02509	-6.5825138	-1135.6238
400.02509	-6.666182	-1143.7211
405.02509	-6.7498078	-1142.3737
410.02509	-6.8327618	-1142.106
415.02509	-6.9159355	-1139.2358
420.02509	-6.9991941	-1113.8936
425.02509	-7.0813661	-1000.2755
430.02509	-7.1662321	-988.43634
435.02509	-7.2517486	-991.02301
440.02509	-7.3326406	-985.57245
445.02509	-7.4178329	-987.10449
450.02509	-7.499764	-931.01068
455.02509	-7.5830626	-867.80603
