MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre 4			Time:	247.36719	Sec	3/10/2021 7:36:36 AM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
218.36198	0.0014741607	34.830544	9.4669798e-05
219.36198	0.0084797926	148.31284	0.00015827641
220.36198	0.015764076	256.80875	0.0002939711
221.36198	0.022566251	357.99866	0.0004345747
222.36198	0.027342977	444.9021	0.00049503852
223.36198	0.037484415	585.41138	0.0007021951
224.36198	0.042281885	669.30524	0.00075933151
225.36198	0.047866393	757.80481	0.00089519931
226.36198	0.056643717	858.45209	0.0010326642
227.36198	0.064331688	969.41931	0.0011379297
228.36198	0.071675181	1077.614	0.0013016103
229.36198	0.076882742	1158.1599	0.001346947
230.36198	0.084231161	1278.8778	0.0015103722
231.36198	0.091113597	1376.3275	0.0016107195
232.36198	0.096260257	1455.5259	0.0016856464
233.36198	0.10203183	1542.672	0.0018121619
234.36198	0.10780043	1647.0566	0.0018869044
235.36198	0.11588661	1756.4734	0.0020634669
236.36198	0.12436182	1873.5884	0.0021959436
237.36198	0.13037547	1992.4777	0.002316029
238.36198	0.13677104	2049.769	0.0024110707
239.36198	0.14308286	2167.4834	0.0025268472
240.36198	0.15081693	2270.3953	0.0026530339
241.36198	0.1567955	2374.1094	0.0027562212
242.36198	0.16264278	2478.8896	0.0028712228
243.36198	0.16907702	2545.0374	0.0029502793
244.36198	0.17577507	2666.5115	0.0030889572
245.36198	0.18290675	2767.7473	0.0032442647
246.36198	0.18930657	2867.5813	0.0033233783
247.36198	0.19845465	2990.6836	0.0034797923
