MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre 4			Time:	240.81284	Sec	3/10/2021 7:46:36 AM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
211.80746	0.0043053194	96.287354	8.5781765e-05
212.80746	0.0099724494	216.67244	0.00014352337
213.80746	0.016143048	302.05145	0.00024147048
214.80746	0.020454416	420.1925	0.00033040621
215.80746	0.026675213	507.06339	0.00039507006
216.80746	0.033572663	610.36835	0.00051200209
217.80746	0.037704341	712.06024	0.0005636249
218.80746	0.043022901	790.4068	0.0006352294
219.80746	0.049359459	919.30426	0.00074056053
220.80746	0.054625977	1016.1157	0.00079332455
221.80746	0.062557615	1099.8558	0.00090003153
222.80746	0.068645537	1239.5731	0.0010237116
223.80746	0.072360061	1309.4587	0.0010587147
224.80746	0.079046212	1413.4753	0.0011784005
225.80746	0.084945537	1541.7363	0.0012541979
226.80746	0.088420697	1614.7913	0.001309397
227.80746	0.094330207	1704.7568	0.001400177
228.80746	0.10066846	1816.431	0.0014657639
229.80746	0.10684741	1899.304	0.0015662219
230.80746	0.11167295	2021.1787	0.0016438961
231.80746	0.1179044	2113.4563	0.0016940437
232.80746	0.12423769	2220.6851	0.0018116937
233.80746	0.12880178	2317.7454	0.0018928512
234.80746	0.13396335	2424.2458	0.0019725568
235.80746	0.14033397	2516.6179	0.0020556997
236.80746	0.14614852	2624.7747	0.002121004
237.80746	0.15313171	2738.5461	0.0022293131
238.80746	0.15946735	2860.6838	0.0023127149
239.80746	0.16338317	2919.4954	0.0023455657
240.80746	0.16824391	3028.8369	0.0024661387
