MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre_1			Time:	30.031902	Sec	3/10/2021 7:43:05 AM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
1.0249023	0.0049143494	68.032478	0.00010377827
2.0249023	0.010453781	160.5934	0.00020667016
3.0249023	0.016201025	280.07455	0.00029623517
4.0249023	0.023114251	364.89978	0.0003816176
5.0249023	0.028558409	499.75485	0.00049675454
6.0249023	0.033929624	561.90344	0.0005709274
7.0249023	0.037835103	699.24542	0.00065946591
8.0249023	0.045424726	790.20789	0.00075686671
9.0249023	0.053754516	908.49402	0.00086306065
10.024902	0.058382083	995.83502	0.00093315617
11.024902	0.064388767	1099.2031	0.0010483814
12.024902	0.068013288	1181.194	0.0010910442
13.024902	0.073880598	1278.8057	0.001192165
14.024902	0.078878865	1383.1494	0.0012595979
15.024902	0.087230988	1484.2987	0.0013747576
16.024902	0.091285832	1576.3251	0.0014470444
17.024902	0.09843079	1673.6187	0.0015226044
18.024902	0.10446186	1798.0128	0.0016146309
19.024902	0.1094929	1868.0265	0.0017037892
20.024902	0.11524137	1979.7396	0.0017696465
21.024902	0.12077916	2072.9219	0.0018587171
22.024902	0.12679441	2189.3865	0.0019311183
23.024902	0.13194045	2278.9814	0.0020040055
24.024902	0.13767232	2411.1365	0.0021245363
25.024902	0.14249213	2468.8384	0.0021641301
26.024902	0.14917336	2593.699	0.0022919343
27.024902	0.1543735	2678.6255	0.002335638
28.024902	0.1625676	2800.8586	0.002462989
29.024902	0.16565895	2877.145	0.0024903885
30.024902	0.17326516	2989.8115	0.0026082681
