MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	431.08466	Sec	3/17/2021 7:26:08 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0250654	-0.082012869	-8.703968
10.025065	-0.16592868	-24.051842
15.025065	-0.24904756	-33.703594
20.025066	-0.3325915	-48.69463
25.025066	-0.41466585	-60.728024
30.025066	-0.49845314	-72.221504
35.025066	-0.5840404	-87.343559
40.025066	-0.66521651	-100.93652
45.025066	-0.7486006	-114.93186
50.025066	-0.83193111	-127.2011
55.025066	-0.91590303	-148.69476
60.025066	-0.99742365	-164.96925
65.02507	-1.0810919	-181.01083
70.02507	-1.166267	-194.50607
75.02507	-1.2474749	-211.57217
80.02507	-1.332649	-225.81128
85.02507	-1.4138893	-238.11804
90.02507	-1.4972719	-254.68352
95.02507	-1.5812593	-271.54736
100.02507	-1.6661998	-289.28421
105.02507	-1.7493867	-307.55396
110.02507	-1.8304619	-324.2121
115.02507	-1.9150103	-341.67551
120.02507	-1.997771	-358.54349
125.02507	-2.0804398	-379.00809
130.02507	-2.1644952	-398.20056
135.02507	-2.2475533	-416.22076
140.02507	-2.32899	-433.03421
145.02507	-2.4142208	-452.39703
150.02507	-2.4991398	-468.4408
155.02507	-2.5821865	-487.89929
160.02507	-2.6645298	-507.23297
165.02507	-2.7478487	-524.77057
170.02507	-2.8323314	-545.26471
175.02507	-2.9128036	-563.59491
180.02507	-2.9990678	-581.37842
185.02507	-3.0820234	-600.45575
190.02507	-3.1634042	-617.54828
195.02507	-3.2485945	-636.10864
200.02507	-3.3321071	-653.44464
205.02507	-3.4125206	-672.33813
210.02507	-3.4970412	-689.3075
215.02507	-3.580349	-708.10229
220.02507	-3.6642301	-726.71466
225.02507	-3.7481313	-744.82465
230.02507	-3.8297718	-761.50665
235.02507	-3.9136147	-779.41565
240.02507	-3.9977539	-796.65735
245.02507	-4.0814972	-815.05457
250.02507	-4.1641278	-831.26715
255.02507	-4.2467251	-847.54071
260.02509	-4.330328	-865.43878
265.02509	-4.4136877	-881.01782
270.02509	-4.4992423	-896.82037
275.02509	-4.5801401	-915.31433
280.02509	-4.6648932	-931.12744
285.02509	-4.7485752	-948.10297
290.02509	-4.8306041	-962.55597
295.02509	-4.9132595	-976.54041
300.02509	-4.9994955	-998.1748
305.02509	-5.0788493	-1010.6547
310.02509	-5.1628613	-1030.5647
315.02509	-5.2473555	-1044.371
320.02509	-5.3320875	-1059.4358
325.02509	-5.4135571	-1071.9397
330.02509	-5.4954791	-1087.2688
335.02509	-5.5805731	-1100.7667
340.02509	-5.664238	-1113.3735
345.02509	-5.7468057	-1128.467
350.02509	-5.8323846	-1139.7336
355.02509	-5.9116883	-1151.7175
360.02509	-5.9964762	-1164.7872
365.02509	-6.0795522	-1178.3923
370.02509	-6.1615191	-1192.0383
375.02509	-6.2469134	-1203.0968
380.02509	-6.3291726	-1209.2314
385.02509	-6.4127331	-1224.3279
390.02509	-6.497355	-1235.7094
395.02509	-6.58038	-1238.8828
400.02509	-6.6633511	-1239.39
405.02509	-6.7467599	-1247.2815
410.02509	-6.8290167	-1250.8307
415.02509	-6.9122996	-1258.8962
420.02509	-6.9963613	-1261.2753
425.02509	-7.0819716	-1261.9196
430.02509	-7.1640601	-1.6073111
