MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre_3			Time:	168.05827	Sec	3/4/2021 12:30:48 PM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
139.0529	0.001667404	20.302128	-4.6874193e-06
140.0529	0.0098824045	141.90866	0.00019684104
141.0529	0.016956624	259.92184	0.00033596225
142.0529	0.021384113	347.65948	0.00041869236
143.0529	0.030142946	445.08655	0.00058510888
144.0529	0.037066776	541.05688	0.00074737769
145.0529	0.046124235	689.48297	0.00087093387
146.0529	0.050809324	754.35583	0.00097251445
147.0529	0.057673018	852.78912	0.0011107936
148.0529	0.063995391	960.41815	0.0012315356
149.0529	0.070509076	1074.9581	0.0013474943
150.0529	0.077737167	1157.5208	0.0014644981
151.0529	0.085985258	1285.6372	0.0016403315
152.0529	0.091822244	1378.4158	0.0017052442
153.0529	0.098046735	1471.2556	0.0018349879
154.0529	0.10584411	1574.0109	0.0019700874
155.0529	0.11261269	1689.4076	0.002073006
156.0529	0.11787951	1764.1375	0.0021937815
157.0529	0.12557189	1864.9199	0.0022553424
158.0529	0.13142829	1948.4486	0.0024272851
159.0529	0.13800682	2081.4189	0.0025024617
160.0529	0.14286976	2128.083	0.0026031041
161.0529	0.15281793	2266.5613	0.0027712714
162.0529	0.15900062	2363.7249	0.0028663634
163.0529	0.16512081	2473.4919	0.002970957
164.0529	0.17221741	2579.135	0.0030760823
165.0529	0.1800566	2674.9521	0.0032209253
166.0529	0.18630628	2790.6404	0.0032897862
167.0529	0.19092831	2854.7214	0.0033787088
168.0529	0.19834004	2953.1816	0.003481939
