MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre 2			Time:	105.69939	Sec	3/4/2021 12:48:10 PM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
76.694016	0.0099658677	129.20885	0.00021775848
77.694016	0.016052615	216.35431	0.00034142812
78.694016	0.02345128	298.44681	0.00046896838
79.694016	0.030115306	430.18329	0.00062534964
80.694016	0.039501619	522.66919	0.00080389983
81.694016	0.046575069	587.35992	0.0010161193
82.694016	0.053664707	728.69006	0.0014443971
83.694016	0.059858456	821.15448	0.0014870772
84.694016	0.066159569	891.18494	0.0015860416
85.694016	0.077132352	1041.6279	0.0018063942
86.694016	0.081828967	1121.9008	0.0018579821
87.694016	0.089732736	1217.0858	0.0019920059
88.694016	0.097141035	1304.0659	0.0021201342
89.694016	0.10501151	1433.0776	0.0022307062
90.694016	0.11088235	1509.4449	0.0023314818
91.694016	0.12032445	1606.3431	0.0024649554
92.694016	0.12694196	1731.8938	0.0025502916
93.694016	0.13326623	1802.5081	0.0026467368
94.694016	0.14100952	1895.361	0.0027574135
95.694016	0.14836366	2011.1465	0.0028972365
96.694016	0.1542339	2106.2686	0.0029801121
97.694016	0.16214299	2205.5784	0.0030918461
98.694016	0.17195691	2322.5952	0.003257477
99.694016	0.17824169	2431.4875	0.0033322531
100.69402	0.18567601	2519.8091	0.0034287905
101.69402	0.19142956	2603.457	0.0035500024
102.69402	0.20069641	2723.1631	0.0036745626
103.69402	0.20746949	2812.1453	0.0037506449
104.69402	0.21388534	2904.6763	0.0038501357
105.69402	0.22066206	3009.4866	0.0039783572
