MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	399.43881	Sec	3/17/2021 7:17:29 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0236006	-0.08205276	-0.89521897
10.023601	-0.16504727	-0.39604333
15.023601	-0.24945237	-6.87289
20.023602	-0.33173418	-26.142975
25.023602	-0.4148359	-43.595287
30.023602	-0.49879229	-60.265903
35.023602	-0.58283675	-79.332283
40.023602	-0.66527301	-97.301376
45.023602	-0.74729627	-118.59422
50.023602	-0.83412379	-136.47697
55.023602	-0.91647512	-162.84604
60.023602	-0.99844319	-181.52666
65.023605	-1.0830414	-199.48372
70.023605	-1.1651832	-219.38359
75.023605	-1.2492821	-237.36258
80.023605	-1.3319347	-254.99303
85.023605	-1.4151553	-272.28067
90.023605	-1.5002668	-290.28998
95.023605	-1.5821073	-309.23044
100.02361	-1.6652368	-329.80591
105.02361	-1.7498519	-346.36932
110.02361	-1.8315523	-364.51126
115.02361	-1.9143575	-382.63574
120.02361	-1.9986867	-403.39383
125.02361	-2.0831532	-419.37241
130.02361	-2.1657581	-436.99179
135.02361	-2.2494063	-455.09805
140.02361	-2.3326406	-473.3678
145.02361	-2.4159567	-495.1644
150.02361	-2.4990659	-512.35602
155.02361	-2.5819705	-536.20673
160.02361	-2.6656075	-554.93896
165.02361	-2.7486289	-575.62329
170.02361	-2.832643	-598.11713
175.02361	-2.9157424	-617.09283
180.02361	-2.9987631	-636.39844
185.02361	-3.0829275	-655.68829
190.02361	-3.1656835	-678.39838
195.02361	-3.247545	-697.56195
200.02361	-3.3316061	-722.51691
205.02361	-3.4147687	-743.70764
210.02361	-3.4975953	-761.33569
215.02361	-3.5813801	-783.04578
220.02361	-3.6653862	-805.69885
225.02361	-3.7475801	-822.6814
230.02361	-3.8306639	-843.58447
235.02361	-3.9168468	-866.41632
240.02361	-3.9986074	-883.784
245.02361	-4.081059	-906.36517
250.02361	-4.1653047	-926.80829
255.02361	-4.2471828	-947.64282
260.02362	-4.332305	-967.68134
265.02362	-4.4144173	-985.64948
270.02362	-4.4990883	-1003.3254
275.02362	-4.5819077	-1029.9094
280.02362	-4.6666617	-1048.8593
285.02362	-4.7500429	-1068.6461
290.02362	-4.8302951	-1086.465
295.02362	-4.9162188	-1101.6658
300.02362	-4.9980555	-1116.3446
305.02362	-5.0803957	-1131.7979
310.02362	-5.1657023	-1129.2405
315.02362	-5.2474217	-1107.9325
320.02362	-5.330832	-1120.6754
325.02362	-5.4158773	-1130.1069
330.02362	-5.4981833	-1101.9532
335.02362	-5.5811505	-1110.3403
340.02362	-5.6651802	-1119.8323
345.02362	-5.7468576	-1127.9744
350.02362	-5.8305678	-1112.5229
355.02362	-5.9138536	-1114.2018
360.02362	-5.998807	-1094.8479
365.02362	-6.0828662	-1096.4972
370.02362	-6.1628594	-1087.047
375.02362	-6.2481813	-1095.2124
380.02362	-6.3320236	-1066.8965
385.02362	-6.4145808	-873.23151
390.02362	-6.4983087	-841.08984
395.02362	-6.5800853	-834.5437
