MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A									
									
Data Acquisition						Time:	640.65546	Sec	3/31/2021 9:13
Time	Ch Disp.	Ch Force							
Sec	mm	N							
5.0249023	-0.082518145	-15.574554							
10.024902	-0.16673638	-42.985302							
15.024902	-0.25021142	-65.107803							
20.024902	-0.3326731	-93.780479							
25.024902	-0.41690466	-122.34297							
30.024902	-0.49806419	-151.8472							
35.024902	-0.58372778	-195.31308							
40.024902	-0.66599882	-229.14243							
45.024902	-0.75086212	-265.81921							
50.024902	-0.83280277	-297.30664							
55.024902	-0.91723472	-330.2655							
60.024902	-0.99774504	-362.80078							
65.024902	-1.0815516	-397.58051							
70.024902	-1.1652598	-431.54434							
75.024902	-1.2491881	-465.79929							
80.024902	-1.3327339	-498.57593							
85.024902	-1.4155163	-531.54895							
90.024902	-1.5010903	-569.52167							
95.024902	-1.5822644	-600.95209							
100.0249	-1.6661996	-638.39716							
105.0249	-1.7479346	-672.04535							
110.0249	-1.8341464	-707.2829							
115.0249	-1.9146551	-744.04272							
120.0249	-1.9993246	-781.30133							
125.0249	-2.0821664	-816.11786							
130.0249	-2.1648564	-852.6087							
135.0249	-2.2484069	-887.48499							
140.0249	-2.3333194	-923.9436							
145.0249	-2.41611	-961.50665							
150.0249	-2.4983251	-996.07697							
155.0249	-2.5822818	-1031.2856							
160.0249	-2.6659405	-1074.9425							
165.0249	-2.7484329	-1108.6974							
170.0249	-2.8345044	-1147.058							
175.0249	-2.9156735	-1181.7102							
180.0249	-2.9982979	-1217.5817							
185.0249	-3.0847366	-1254.4637							
190.0249	-3.1678855	-1290.2031							
195.0249	-3.2498336	-1327.0197							
200.0249	-3.3336213	-1361.1172							
205.0249	-3.4164445	-1397.2318							
210.0249	-3.498915	-1433.5881							
215.0249	-3.5828147	-1467.4222							
220.0249	-3.6643763	-1502.1157							
225.0249	-3.7485976	-1540.0031							
230.0249	-3.8325317	-1576.7665							
235.0249	-3.9139566	-1610.035							
240.0249	-4.0005002	-1645.6615							
245.0249	-4.082921	-1683.5282							
250.0249	-4.1667881	-1719.1938							
255.0249	-4.2514739	-1758.1024							
260.0249	-4.3325806	-1787.644							
265.0249	-4.4142251	-1820.88							
270.0249	-4.4997568	-1855.9817							
275.0249	-4.5829401	-1891.3546							
280.0249	-4.6671591	-1931.5366							
285.0249	-4.7477217	-1963.0774							
290.0249	-4.8316302	-1999.2854							
295.0249	-4.9163971	-2034.0256							
300.0249	-4.9994454	-2069.302							
305.0249	-5.0835981	-2104.4961							
310.0249	-5.1675477	-2135.0923							
315.0249	-5.2491951	-2168.3779							
320.0249	-5.3333144	-2203.4495							
325.0249	-5.4148998	-2231.3093							
330.0249	-5.4988136	-2262.6492							
335.0249	-5.5846648	-2301.252							
340.0249	-5.6653543	-2329.0964							
345.0249	-5.7477026	-2359.823							
350.0249	-5.8316031	-2392.155							
355.0249	-5.9158273	-2423.1758							
360.0249	-6.0007277	-2461.8479							
365.0249	-6.0832376	-2486.3889							
370.0249	-6.1660123	-2522.4924							
375.0249	-6.248662	-2548.939							
380.0249	-6.3334198	-2578.845							
385.0249	-6.4157624	-2606.417							
390.0249	-6.498549	-2637.3901							
395.0249	-6.5810771	-2665.7773							
400.0249	-6.6663651	-2694.1892							
405.0249	-6.7480712	-2719.1794							
410.0249	-6.8329759	-2748.9854							
415.0249	-6.9163117	-2781.6418							
420.0249	-6.9989195	-2810.606							
425.0249	-7.0814018	-2838.5435							
430.0249	-7.1658788	-2862.2703							
435.0249	-7.2502389	-2896.2188							
440.0249	-7.3319201	-2920.4019							
445.0249	-7.4153743	-2942.1807							
450.0249	-7.4994245	-2972.9136							
455.0249	-7.5830808	-2991.2068							
460.0249	-7.6658378	-3022.689							
465.0249	-7.7510891	-3048.1707							
470.0249	-7.8328567	-3071.7773							
475.0249	-7.9151692	-3090.7859							
480.0249	-8.0002623	-3120.5027							
485.0249	-8.0825653	-3137.8093							
490.0249	-8.166254	-3161.4719							
495.0249	-8.2497721	-3181.6851							
500.0249	-8.3327198	-3201.9326							
505.0249	-8.4146471	-3221.1902							
510.0249	-8.5010614	-3248.0554							
515.0249	-8.5823965	-3269.3105							
520.0249	-8.6650581	-3281.8931							
525.0249	-8.7471895	-3302.5327							
530.0249	-8.8338366	-3329.8511							
535.0249	-8.9174948	-3347.1851							
540.0249	-9.0006981	-3366.7166							
545.0249	-9.0822439	-3381.5076							
550.0249	-9.1661415	-3398.6797							
555.0249	-9.2483768	-3409.8953							
560.0249	-9.3336182	-3435.927							
565.0249	-9.4160328	-3445.1587							
570.0249	-9.4984417	-3469.4412							
575.0249	-9.5813007	-3482.2026							
580.0249	-9.6651764	-3492.4758							
585.0249	-9.7511387	-3513.1792							
590.0249	-9.8327112	-3519.0078							
595.0249	-9.9139204	-3523.0437							
600.0249	-9.9993076	-3527.0796							
605.0249	-10.083665	-3531.1155							
610.0249	-10.165961	-3535.1514							
615.0249	-10.251418	-3539.1873							
620.0249	-10.332342	-3543.2232							
625.0249	-10.41451	-3547.2591							
630.0249	-10.499639	-3551.295							
635.0249	-10.582921	-900.26935							
640.0249	-10.66571	-1044.5035							
