MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Rupture			Time:	350.3576	Sec	3/1/2021 7:36:26 AM
Ch Disp.	Ch Force	Time
mm	N	Sec
1.5977291	27072.754	250.66846
1.6088835	27257.709	251.66846
1.6176298	27390.92	252.66846
1.6266158	27517.014	253.66846
1.6347989	27616.504	254.66846
1.6416817	27699.582	255.66846
1.6502148	27845.941	256.66846
1.6600969	27954.959	257.66846
1.6659799	28046.131	258.66846
1.6744006	28173.625	259.66846
1.6855336	28360.982	260.66846
1.693728	28454.633	261.66846
1.7002854	28568.174	262.66846
1.7089261	28698.58	263.66846
1.7170177	28781.195	264.66846
1.7257996	28925.621	265.66846
1.7332158	29045.805	266.66846
1.7439799	29149.668	267.66846
1.751265	29243.67	268.66846
1.7587674	29375.529	269.66846
1.7671671	29472.469	270.66846
1.7764159	29606.828	271.66846
1.7830846	29695.957	272.66846
1.7930042	29805.816	273.66846
1.800329	29914.975	274.66846
1.808342	30041.729	275.66846
1.8176373	30139.012	276.66846
1.8267947	30304.684	277.66846
1.8363082	30416.689	278.66846
1.8407168	30463	279.66846
1.8512726	30585.734	280.66846
1.8584844	30696.434	281.66846
1.8663018	30829.244	282.66846
1.8738741	30918.301	283.66846
1.883659	31062.904	284.66846
1.8913945	31154.377	285.66846
1.8996811	31257.107	286.66846
1.9066814	31350.057	287.66846
1.9180686	31493.109	288.66846
1.926494	31614.809	289.66846
1.9326252	31665.676	290.66846
1.9413389	31787.439	291.66846
1.9510059	31936.014	292.66846
1.9587554	32006.416	293.66846
1.9686821	32160.316	294.66846
1.9739978	32220.848	295.66846
1.9845248	32371.605	296.66846
1.9930128	32492.561	297.66846
2.0007355	32570.172	298.66846
2.0079827	32675.262	299.66846
2.0174994	32788.18	300.66846
2.0266864	32906.859	301.66846
2.0341511	33030.75	302.66846
2.0421629	33128.293	303.66846
2.050874	33216.223	304.66846
2.0589237	33326.496	305.66846
2.0696013	33454.797	306.66846
2.0764525	33533.941	307.66846
2.0840559	33623.215	308.66846
2.0922558	33740.914	309.66846
2.0998423	33819.906	310.66846
2.109046	33944.938	311.66846
2.1167862	34004.871	312.66846
2.1239433	34109.234	313.66846
2.1331129	34238.063	314.66846
2.142267	34332.98	315.66846
2.1504047	34386.941	316.66846
2.1573355	34486.5	317.66846
2.1666992	34610.078	318.66846
2.1746206	34683.594	319.66846
2.1830726	34790.141	320.66846
2.1904964	34868.316	321.66846
2.2005076	35000.266	322.66846
2.2081964	35088.676	323.66846
2.2174368	35204.965	324.66846
2.2256732	35316.98	325.66846
2.232224	35387.953	326.66846
2.2407856	35466.816	327.66846
2.2500467	35558.465	328.66846
2.2595026	35705.055	329.66846
2.2647321	35754.27	330.66846
2.2734506	35838.395	331.66846
2.2851715	35968.672	332.66846
2.2908711	36031.797	333.66846
2.3012028	36176.766	334.66846
2.3080347	36242.844	335.66846
2.3166645	36348.52	336.66846
2.3254259	36451.047	337.66846
2.3346562	36566.648	338.66846
2.3433409	36656.25	339.66846
2.3517673	36765.426	340.66846
2.3576434	36815.418	341.66846
2.3675244	36941.141	342.66846
2.3761866	37038.773	343.66846
2.3829954	37103.086	344.66846
2.3924718	37231.688	345.66846
2.4002676	37321.195	346.66846
2.4068079	991.56512	347.66846
2.4143615	1006.6829	348.66846
2.4227469	1016.3559	349.66846
