MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A									
									
Data Acquisition		Extensometre				Time:	30.031576	Sec	3/1/2021 7:31
Time	Ch Disp.	Ch Force	Ch Extensometer						
Sec	mm	N	mm/mm						
1.0245769	0.009969584	185.51959	0.000175233						
2.0245769	0.009991097	182.84586	0.000172209						
3.0245769	0.01403713	260.3847	0.000256003						
4.0245771	0.020752994	406.14679	0.000344689						
5.0245771	0.026519036	537.21246	0.000444364						
6.0245771	0.031975128	641.7821	0.000547774						
7.0245771	0.040447984	760.56799	0.000659856						
8.0245771	0.042541765	837.51978	0.000710843						
9.0245771	0.04714746	936.46619	0.000771361						
10.024577	0.049191248	970.59436	0.000802806						
11.024577	0.055715539	1060.7456	0.000909801						
12.024577	0.060990661	1204.2185	0.001032638						
13.024577	0.069188043	1347.3883	0.001114782						
14.024577	0.075857393	1484.9696	0.001227496						
15.024577	0.076112486	1508.7313	0.001226429						
16.024578	0.084786542	1632.2792	0.001345465						
17.024578	0.089041822	1738.3499	0.001420747						
18.024578	0.091597274	1790.4572	0.00145235						
19.024578	0.099056177	1945.1235	0.001579728						
20.024578	0.1037991	2009.9783	0.001651918						
21.024578	0.11042824	2144.3071	0.001757563						
22.024578	0.11297826	2209.2871	0.001770218						
23.024578	0.11867858	2311.0806	0.001856825						
24.024578	0.1258803	2445.0759	0.001972941						
25.024578	0.13356975	2577.8157	0.002108445						
26.024578	0.1372606	2661.0225	0.002151231						
27.024578	0.14050275	2723.6577	0.002197168						
28.024578	0.14620353	2829.3755	0.002271195						
29.024578	0.15305422	2949.9856	0.002394949						
30.024578	0.15755951	3011.1057	0.002438117						
