MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A									
									
Data Acquisition		Extensometre				Time:	30.032227	Sec	3/1/2021 7:47
Time	Ch Disp.	Ch Force	Ch Extensometer						
Sec	mm	N	mm/mm						
1.0249023	0.005937811	84.706917	7.55E-05						
2.0249023	0.011058651	205.52272	0.000154177						
3.0249023	0.016214885	288.40186	0.000230825						
4.0249023	0.019986108	405.92276	0.000338198						
5.0249023	0.026511783	508.70215	0.00042598						
6.0249023	0.031766877	619.50507	0.000542244						
7.0249023	0.038275599	695.87463	0.000596459						
8.0249023	0.042445999	807.5824	0.000696623						
9.0249023	0.046807155	891.89343	0.000791948						
10.024902	0.052486837	1009.5878	0.000866554						
11.024902	0.057576071	1077.7977	0.000934672						
12.024902	0.06243214	1184.7045	0.001031087						
13.024902	0.068565652	1291.9041	0.001133813						
14.024902	0.073682293	1404.0043	0.001203248						
15.024902	0.078319386	1494.9941	0.001297157						
16.024902	0.083261102	1609.4038	0.001374415						
17.024902	0.08871448	1689.6534	0.001470665						
18.024902	0.095500261	1806.6287	0.001550602						
19.024902	0.10032939	1919.1438	0.001628369						
20.024902	0.10326138	1996.3462	0.001690778						
21.024902	0.10840148	2085.2673	0.001796555						
22.024902	0.11362819	2185.5313	0.00185554						
23.024902	0.1206055	2275.033	0.001952624						
24.024902	0.12654416	2398.4568	0.002034487						
25.024902	0.12996052	2480.5168	0.002132078						
26.024902	0.13486145	2583.9165	0.002191392						
27.024902	0.14069696	2696.9678	0.002280383						
28.024902	0.14633688	2788.3623	0.002344714						
29.024902	0.15093653	2894.708	0.002455886						
30.024902	0.156341	3002.9038	0.002523916						
