MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre 4			Time:	242.77768	Sec	3/10/2021 8:20:07 AM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
213.77231	0.0011431872	13.993642	6.1263701e-05
214.77231	0.011221671	146.48129	0.00018893101
215.77231	0.019470939	243.80969	0.00028780909
216.77231	0.026135173	328.06906	0.00046304413
217.77231	0.034481764	441.36758	0.00061420782
218.77231	0.042620752	562.07031	0.00073173508
219.77231	0.050521601	661.27551	0.00083759788
220.77231	0.061530292	750.71259	0.0010081903
221.77231	0.070029885	867.54022	0.0011604953
222.77231	0.076452963	964.97034	0.0012430244
223.77231	0.084132738	1050.3389	0.0013413772
224.77231	0.091582417	1143.6494	0.0014845893
225.77231	0.10014722	1259.9541	0.0016175169
226.77231	0.10859913	1367.853	0.001751346
227.77231	0.1174584	1466.7954	0.0018445824
228.77231	0.12590294	1567.6882	0.0020178978
229.77231	0.13296245	1681.0009	0.0021276218
230.77231	0.14012031	1766.6992	0.0022226411
231.77231	0.14852756	1858.094	0.0023333526
232.77231	0.15782659	1963.731	0.0024902339
233.77231	0.16851509	2123.2324	0.0026312473
234.77231	0.17347959	2175.8735	0.0027099543
235.77231	0.18093152	2259.394	0.0028429332
236.77231	0.19024366	2374.2942	0.0030618114
237.77231	0.19755192	2474.5127	0.0032346791
238.77231	0.20570654	2582.179	0.0033344261
239.77231	0.212741	2666.7537	0.0034541166
240.77231	0.22040275	2783.2283	0.0035596867
241.77231	0.22672276	2876.5708	0.0036736736
242.77231	0.23810287	2986.3271	0.0038037531
