MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre 2			Time:	95.850098	Sec	3/4/2021 12:39:28 PM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
66.844894	0.00084294885	64.936615	1.9109875e-05
67.844894	0.0077075646	190.38428	0.00010632607
68.844894	0.01561026	273.23102	0.00017164249
69.844894	0.020186653	364.38809	0.00027487963
70.844894	0.028718468	496.71411	0.00039350509
71.844894	0.035396632	596.92395	0.00047246393
72.844894	0.043142844	722.19055	0.00057345879
73.844894	0.048959084	801.52734	0.00067942811
74.844894	0.055562105	925.00177	0.00076696777
75.844894	0.062132649	1018.9719	0.00086812326
76.844894	0.068186462	1102.1996	0.00095039338
77.844894	0.072621785	1209.3208	0.0010569918
78.844894	0.079343185	1319.1302	0.001123013
79.844894	0.087166071	1428.9612	0.0012545084
80.844894	0.093899563	1521.6262	0.0013527455
81.844894	0.10044168	1634.3848	0.0014310476
82.844894	0.10702252	1736.7321	0.0015368718
83.844894	0.11429513	1817.9353	0.0016548877
84.844894	0.11910053	1919.5715	0.0017149374
85.844894	0.12538715	2022.9673	0.0018251436
86.844894	0.13264295	2115.6704	0.001924975
87.844894	0.13923384	2231.759	0.0020036662
88.844894	0.14623404	2343.1714	0.0021023261
89.844894	0.15282251	2415.0999	0.0022284873
90.844894	0.15837429	2546.603	0.0023081624
91.844894	0.16597928	2620.0815	0.0023889933
92.844894	0.17153305	2720.5776	0.0025202071
93.844894	0.177984	2840.3455	0.002590958
94.844894	0.18627542	2925.0337	0.0026736092
95.844894	0.19061476	3018.5083	0.0027811141
