MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Extensometre_1			Time:	30.033367	Sec	3/4/2021 12:38:22 PM
Time	Ch Disp.	Ch Force	Ch Extensometer
Sec	mm	N	mm/mm
1.0258789	0.0095771141	118.56702	0.00013796982
2.0258789	0.016350349	199.68515	0.00023083972
3.0258789	0.02174272	313.5553	0.00027691817
4.0258789	0.027836025	403.04501	0.00035940931
5.0258789	0.035362132	505.24872	0.0004872116
6.0258789	0.041692749	629.68878	0.00056096748
7.0258789	0.047932602	708.47906	0.00062828162
8.0258789	0.054431897	790.26239	0.00074987387
9.0258789	0.059366439	920.03601	0.0008447023
10.025879	0.066238023	996.02057	0.00091351516
11.025879	0.07340654	1087.0269	0.0010304359
12.025879	0.079822853	1196.1345	0.0011224379
13.025879	0.084983446	1286.8337	0.00121899
14.025879	0.091518544	1381.2584	0.0013707263
15.025879	0.099274792	1483.9576	0.0015697151
16.025879	0.10319129	1575.6506	0.0017168885
17.025879	0.11221883	1699.79	0.0018945362
18.025879	0.11939453	1783.5308	0.0019763401
19.025879	0.1258973	1891.4604	0.0020780673
20.025879	0.12991035	1974.8737	0.0021335478
21.025879	0.13763331	2093.8433	0.0022630375
22.025879	0.14435039	2175.2549	0.0023717689
23.025879	0.14948727	2281.7527	0.0024730361
24.025879	0.15601172	2364.6995	0.0025168341
25.025879	0.16309828	2468.4019	0.0026305404
26.025879	0.17188646	2616.7373	0.002765019
27.025879	0.17684682	2689.9902	0.0028401546
28.025879	0.18381906	2776.2449	0.0029498714
29.025879	0.18920605	2887.9036	0.0030383053
30.025879	0.19727886	2996.897	0.0031357994
