MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	650.71356	Sec	4/16/2021 7:56:06 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0250654	-0.084197581	-20.965221
10.025065	-0.16736379	-42.413246
15.025065	-0.24951939	-62.807842
20.025066	-0.33311161	-84.80648
25.025066	-0.41490117	-106.46517
30.025066	-0.4999426	-129.81046
35.025066	-0.58151191	-151.50319
40.025066	-0.66694963	-182.50923
45.025066	-0.74891233	-208.19257
50.025066	-0.83210808	-231.91142
55.025066	-0.91464216	-260.94971
60.025066	-0.99982226	-286.06384
65.02507	-1.0835137	-315.36331
70.02507	-1.1647049	-340.55368
75.02507	-1.2489625	-367.0235
80.02507	-1.3334278	-397.0314
85.02507	-1.4147319	-422.7637
90.02507	-1.4991586	-449.95462
95.02507	-1.5823348	-476.51981
100.02507	-1.6657919	-503.08841
105.02507	-1.7493765	-530.27338
110.02507	-1.8329456	-557.86285
115.02507	-1.9152102	-586.77533
120.02507	-1.9990076	-614.05817
125.02507	-2.0829799	-640.67438
130.02507	-2.165174	-669.02496
135.02507	-2.2500083	-695.02325
140.02507	-2.3314779	-722.06561
145.02507	-2.4155107	-752.46136
150.02507	-2.4994953	-783.5224
155.02507	-2.5832474	-812.03052
160.02507	-2.6659746	-837.89771
165.02507	-2.7498865	-871.44489
170.02507	-2.8333335	-897.10284
175.02507	-2.9158561	-928.05292
180.02507	-2.9993536	-955.39594
185.02507	-3.0812476	-983.22821
190.02507	-3.1662416	-1012.5328
195.02507	-3.2498455	-1046.0514
200.02507	-3.3327065	-1072.7963
205.02507	-3.4162023	-1100.1033
210.02507	-3.4993362	-1126.5775
215.02507	-3.58248	-1157.1685
220.02507	-3.6643515	-1183.8181
225.02507	-3.7482615	-1212.2649
230.02507	-3.8334296	-1238.6455
235.02507	-3.9152148	-1265.7263
240.02507	-4.0000572	-1293.0985
245.02507	-4.0826492	-1322.8989
250.02507	-4.1641817	-1347.9352
255.02507	-4.249023	-1376.86
260.02509	-4.3324823	-1406.2184
265.02509	-4.4163499	-1430.7983
270.02509	-4.4982162	-1458.6364
275.02509	-4.5813408	-1486.7987
280.02509	-4.6667161	-1512.0458
285.02509	-4.7474618	-1537.9451
290.02509	-4.8330379	-1567.8577
295.02509	-4.9160299	-1593.3719
300.02509	-4.9997654	-1621.4927
305.02509	-5.081223	-1647.3721
310.02509	-5.1645455	-1670.9214
315.02509	-5.248899	-1702.0887
320.02509	-5.3337808	-1729.9747
325.02509	-5.4160757	-1756.3256
330.02509	-5.4982972	-1778.3594
335.02509	-5.5820417	-1808.0476
340.02509	-5.665431	-1833.0972
345.02509	-5.7508698	-1860.7595
350.02509	-5.8329344	-1885.0302
355.02509	-5.915329	-1912.9182
360.02509	-5.9988327	-1940.8015
365.02509	-6.0821166	-1965.9587
370.02509	-6.1658359	-1991.9468
375.02509	-6.2478032	-2014.9896
380.02509	-6.3330517	-2042.1473
385.02509	-6.4169521	-2066.6821
390.02509	-6.4976683	-2090.3689
395.02509	-6.5821233	-2115.519
400.02509	-6.6645164	-2139.5544
405.02509	-6.7482705	-2164.479
410.02509	-6.8322206	-2186.8579
415.02509	-6.915791	-2211.2417
420.02509	-6.9980264	-2233.9045
425.02509	-7.0823464	-2258.6855
430.02509	-7.1661744	-2282.9165
435.02509	-7.2510099	-2307.6799
440.02509	-7.3325171	-2331.0781
445.02509	-7.4159417	-2352.2395
450.02509	-7.4992976	-2370.4817
455.02509	-7.5827241	-2395.3003
460.02509	-7.6652589	-2416.2205
465.02509	-7.7494678	-2441.4045
470.02509	-7.8323336	-2462.6089
475.02509	-7.9142776	-2486.6467
480.02509	-7.9977112	-2504.7734
485.02509	-8.0817757	-2528.6299
490.02509	-8.1626759	-2543.9934
495.02509	-8.2491207	-2572.7776
500.02509	-8.3325272	-2593.2227
505.02509	-8.4160128	-2609.282
510.02509	-8.4988375	-2632.667
515.02509	-8.5823336	-2645.2788
520.02509	-8.665658	-2671.0447
525.02509	-8.7486191	-2692.5735
530.02509	-8.8318472	-2713.7144
535.02509	-8.9151697	-2731.595
540.02509	-8.9988708	-2747.8875
545.02509	-9.0814075	-2769.1736
550.02509	-9.1657991	-2800.0308
555.02509	-9.2493916	-2812.5359
560.02509	-9.3316946	-2833.8716
565.02509	-9.4157658	-2853.01
570.02509	-9.5006552	-2876.3396
575.02509	-9.5830832	-2891.3682
580.02509	-9.6651125	-2906.3411
585.02509	-9.7490921	-2923.6177
590.02509	-9.8301506	-2932.6025
595.02509	-9.9143105	-2959.1738
600.02509	-9.9995995	-2974.4827
605.02509	-10.081232	-2991.145
610.02509	-10.16482	-2998.0759
615.02509	-10.247989	-3020.9006
620.02509	-10.332211	-3028.6182
625.02509	-10.414032	-3045.1897
630.02509	-10.497252	-3060.0054
635.02509	-10.582741	-3074.6853
640.02509	-10.663534	-3084.0967
645.02509	-10.746987	14.018684
650.02509	-10.831566	15.455203
