MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	567.15186	Sec	4/16/2021 8:30:03 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0247397	-0.081735343	-27.640099
10.02474	-0.16505323	-53.062946
15.02474	-0.24906473	-81.367683
20.02474	-0.33350649	-111.40907
25.02474	-0.41386539	-141.21794
30.02474	-0.49983975	-173.89212
35.024742	-0.58464694	-211.18843
40.024742	-0.66530418	-245.73494
45.024742	-0.7489562	-280.13788
50.024742	-0.83021921	-317.91855
55.024742	-0.91515571	-355.70383
60.024742	-0.99974233	-392.64972
65.024742	-1.0828869	-431.26907
70.024742	-1.1649845	-468.79001
75.024742	-1.2489109	-504.44244
80.024742	-1.3330176	-540.38696
85.024742	-1.4173939	-579.2002
90.024742	-1.4994918	-613.95105
95.024742	-1.5819468	-654.70856
100.02474	-1.666674	-692.36261
105.02474	-1.7497891	-726.87946
110.02474	-1.8338017	-766.09235
115.02474	-1.9153824	-803.81934
120.02474	-1.9999822	-843.16724
125.02474	-2.0835352	-880.99738
130.02475	-2.1648335	-918.81415
135.02475	-2.2492332	-961.10187
140.02475	-2.3324797	-999.9328
145.02475	-2.4150486	-1037.5254
150.02475	-2.499018	-1080.5245
155.02475	-2.5811787	-1120.4027
160.02475	-2.6650598	-1161.1918
165.02475	-2.748894	-1199.7018
170.02475	-2.831655	-1236.2872
175.02475	-2.9163907	-1276.7251
180.02475	-2.9999065	-1314.9513
185.02475	-3.0809078	-1355.2211
190.02475	-3.1655824	-1392.7435
195.02475	-3.2487304	-1432.041
200.02475	-3.3303211	-1469.408
205.02475	-3.4131203	-1507.9576
210.02475	-3.4992518	-1549.1392
215.02475	-3.5828612	-1588.2539
220.02475	-3.6634531	-1621.4901
225.02475	-3.7490015	-1665.9912
230.02475	-3.8319173	-1702.5015
235.02475	-3.9164176	-1742.5073
240.02475	-3.9983683	-1780.5192
245.02475	-4.0831561	-1818.5442
250.02475	-4.1637554	-1855.9829
255.02475	-4.2488608	-1896.413
260.02475	-4.3332686	-1939.684
265.02475	-4.4152055	-1975.1145
270.02475	-4.498333	-2012.511
275.02475	-4.581605	-2053.9924
280.02475	-4.6665778	-2092.2937
285.02475	-4.7490091	-2127.9421
290.02475	-4.8334618	-2167.8462
295.02475	-4.9161377	-2203.6414
300.02475	-4.9983478	-2241.8413
305.02475	-5.0824466	-2280.2393
310.02475	-5.1632915	-2314.7871
315.02475	-5.2483015	-2354.0752
320.02475	-5.3316007	-2391.2883
325.02475	-5.4133587	-2424.2231
330.02475	-5.4977279	-2463.3884
335.02475	-5.5819492	-2500.9067
340.02475	-5.6651073	-2538.2095
345.02475	-5.747509	-2573.3508
350.02475	-5.8316436	-2612.1467
355.02475	-5.9151406	-2645.9946
360.02475	-5.9980874	-2680.1028
365.02475	-6.0814958	-2717.502
370.02475	-6.1660886	-2753.2334
375.02475	-6.2487617	-2790.1877
380.02475	-6.331409	-2828.1462
385.02475	-6.4149027	-2867.3625
390.02475	-6.4978738	-2895.7712
395.02475	-6.580915	-2933.3362
400.02475	-6.6640286	-2964.7876
405.02475	-6.7482133	-3001.2056
410.02475	-6.8312373	-3035.6052
415.02475	-6.9148617	-3073.6135
420.02475	-6.9992676	-3105.4473
425.02475	-7.0814233	-3138.3069
430.02475	-7.163238	-3168.4358
435.02475	-7.2483258	-3199.9966
440.02475	-7.3309855	-3217.677
445.02475	-7.4165373	-3263.8115
450.02475	-7.4985914	-3246.9561
455.02475	-7.5816674	-3271.9949
460.02475	-7.6645665	-3300.8096
465.02475	-7.7499366	-3334.1245
470.02475	-7.8336687	-3355.1133
475.02475	-7.9139357	-3380.6929
480.02475	-7.9984732	-3408.1707
485.02475	-8.0829029	-3218.1875
490.02475	-8.1645966	-3227.8813
495.02475	-8.2477789	-3203.1665
500.02475	-8.3306541	-3220.7688
505.02475	-8.4138021	-3247.1272
510.02475	-8.4972048	-3259.3572
515.02478	-8.5821714	-3282.2156
520.02478	-8.6662054	-3295.4968
525.02478	-8.7474642	-3319.218
530.02478	-8.8334694	-3338.2314
535.02478	-8.915123	-3356.9082
540.02478	-8.9985447	-3346.0081
545.02478	-9.0821953	-3321.9004
550.02478	-9.1655874	-3269.2271
555.02478	-9.248374	-3290.134
560.02478	-9.3315887	4.5158124
565.02478	-9.4164085	1.4766909
