MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	339.39731	Sec	3/24/2021 7:36:11 AM
Time	Ch Disp.	Ch Force
Sec	mm	N
5.0250654	-0.084472381	-14.39579
10.025065	-0.16585338	-28.990831
15.025065	-0.2484377	-42.972485
20.025066	-0.33313704	-60.071552
25.025066	-0.41445717	-80.405037
30.025066	-0.49941188	-94.381821
35.025066	-0.58074725	-108.7455
40.025066	-0.66481692	-121.94202
45.025066	-0.74982548	-139.75504
50.025066	-0.83252865	-153.56833
55.025066	-0.91532493	-166.44434
60.025066	-1.0001485	-180.35521
65.02507	-1.0831425	-196.94057
70.02507	-1.1643758	-210.97206
75.02507	-1.2484914	-226.12016
80.02507	-1.3314533	-240.49367
85.02507	-1.4161859	-256.22684
90.02507	-1.4987946	-269.95181
95.02507	-1.5812963	-286.34537
100.02507	-1.6648395	-299.75705
105.02507	-1.7481092	-313.84204
110.02507	-1.832328	-329.28809
115.02507	-1.9142261	-344.23575
120.02507	-1.9985412	-359.33105
125.02507	-2.0818191	-373.09085
130.02507	-2.1665552	-385.9628
135.02507	-2.2472975	-401.1846
140.02507	-2.3321345	-413.93091
145.02507	-2.4155474	-431.08636
150.02507	-2.4997931	-440.62473
155.02507	-2.5813897	-455.58823
160.02507	-2.6646216	-467.79538
165.02507	-2.7475867	-483.18262
170.02507	-2.8326235	-497.18631
175.02507	-2.9144998	-509.95755
180.02507	-2.9995496	-522.87311
185.02507	-3.0818059	-534.76349
190.02507	-3.1652434	-547.8645
195.02507	-3.2495036	-559.79504
200.02507	-3.3325865	-573.55402
205.02507	-3.4164238	-584.11023
210.02507	-3.4963651	-596.78851
215.02507	-3.580986	-609.94482
220.02507	-3.664943	-621.55756
225.02507	-3.7484374	-632.16797
230.02507	-3.8296056	-642.99646
235.02507	-3.9143488	-654.35883
240.02507	-3.9975381	-666.37543
245.02507	-4.0827622	-675.53668
250.02507	-4.1652131	-685.59332
255.02507	-4.2467103	-696.65771
260.02509	-4.3311696	-709.45099
265.02509	-4.4138207	-717.09155
270.02509	-4.4964662	-729.08911
275.02509	-4.5807939	-737.81445
280.02509	-4.6642094	-748.77258
285.02509	-4.7484388	-757.44434
290.02509	-4.8301744	-765.40649
295.02509	-4.9152598	-772.76318
300.02509	-4.9974236	-778.90369
305.02509	-5.0795527	-787.64612
310.02509	-5.1637659	-792.40979
315.02509	-5.2463217	-801.25488
320.02509	-5.3292294	-806.47083
325.02509	-5.4139571	-813.87823
330.02509	-5.4977345	-814.78754
335.02509	-5.5793037	-599.56689
