MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			Rupture			Time:	424.23047	Sec	3/4/2021 11:40:42 AM
Ch Disp.	Ch Force	Time
mm	N	Sec
0.019552823	393.01175	291.54819
0.025973439	565.33466	292.54819
0.034971431	775.34546	293.54819
0.042536877	934.3374	294.54819
0.049989428	1122.0313	295.54819
0.059527971	1319.3784	296.54819
0.066813484	1499.1095	297.54819
0.076242872	1694.6543	298.54819
0.084513247	1873.7653	299.54819
0.090242617	2023.9093	300.54819
0.10075654	2246.0369	301.54819
0.11030026	2451.134	302.54819
0.11785408	2623.0227	303.54819
0.12512013	2794.2441	304.54819
0.1332546	2982.3735	305.54819
0.14287086	3213.9387	306.54819
0.15096226	3388.1021	307.54819
0.15820192	3585.9573	308.54819
0.16797185	3763.8447	309.54819
0.17629467	3952.3889	310.54819
0.18473183	4150.4839	311.54819
0.19174483	4345.8413	312.54819
0.20119441	4505.2651	313.54819
0.20820142	4696.9595	314.54819
0.21754147	4852.7324	315.54819
0.22556269	5041.3003	316.54819
0.23570864	5223.0898	317.54819
0.24357261	5429.3628	318.54819
0.2517814	5608.542	319.54819
0.2601721	5774.3447	320.54819
0.26840043	5976.5386	321.54819
0.27590159	6117.561	322.54819
0.28498647	6271.7871	323.54819
0.29195926	6462.1631	324.54819
0.30168784	6647.2676	325.54819
0.30992168	6828.3276	326.54819
0.31744635	6992.376	327.54819
0.32619929	7166.7769	328.54819
0.33433193	7342.1733	329.54819
0.34302199	7515.5938	330.54819
0.34988886	7684.3354	331.54819
0.35890585	7855.1885	332.54819
0.36807707	8038.6353	333.54819
0.37838018	8225.9014	334.54819
0.38324854	8340.4033	335.54819
0.39266244	8523.7188	336.54819
0.40174434	8712.8643	337.54819
0.409338	8833.3086	338.54819
0.41887805	9024.2988	339.54819
0.42618871	9167.5352	340.54819
0.43474212	9319.1426	341.54819
0.44327539	9485.3418	342.54819
0.45201582	9664.7676	343.54819
0.45990801	9818.3428	344.54819
0.46752539	9990.3555	345.54819
0.47822687	10194.44	346.54819
0.48550519	10337.225	347.54819
0.49474236	10466.762	348.54819
0.50111622	10601.721	349.54819
0.50747579	10744.688	350.54819
0.51805544	10939.33	351.54819
0.52597809	11092.224	352.54819
0.53471404	11229.594	353.54819
0.54413313	11380.707	354.54819
0.55089611	11499.647	355.54819
0.55960679	11693.049	356.54819
0.56807739	11840.412	357.54819
0.57811159	12028.211	358.54819
0.58447939	12129.32	359.54819
0.59293222	12266.667	360.54819
0.60194463	12439.384	361.54819
0.60827422	12566.354	362.54819
0.61844212	12751.509	363.54819
0.62724805	12913.058	364.54819
0.63574117	13031.834	365.54819
0.64197737	13145.367	366.54819
0.65111154	13270.685	367.54819
0.66028911	13423.863	368.54819
0.668522	13555.195	369.54819
0.67664194	13688.009	370.54819
0.68519938	13866.346	371.54819
0.69429386	14002.162	372.54819
0.70245546	14128.82	373.54819
0.70981878	14245.917	374.54819
0.71845978	14396.456	375.54819
0.72598785	14543.767	376.54819
0.73656875	14701.915	377.54819
0.74352133	14815.549	378.54819
0.75431705	14945.483	379.54819
0.76069087	15052.238	380.54819
0.76826614	15186.276	381.54819
0.77701318	15362.782	382.54819
0.78441983	15465.526	383.54819
0.79489464	15638.539	384.54819
0.80340946	15732.375	385.54819
0.81012797	15816.61	386.54819
0.81807435	15875.99	387.54819
0.82762009	16049.637	388.54819
0.83461899	16144.836	389.54819
0.84352601	16269.283	390.54819
0.85259461	16386.451	391.54819
0.86075771	16498.514	392.54819
0.86909318	16611.668	393.54819
0.87598926	16728.047	394.54819
0.88446629	16841.982	395.54819
0.89265341	16961.611	396.54819
0.90256596	17050.822	397.54819
0.91067463	17170.133	398.54819
0.92012262	17067.783	399.54819
0.92772967	17070.598	400.54819
0.93460685	16931.93	401.54819
0.94315493	16507.641	402.54819
0.9514057	16419.695	403.54819
0.96057135	16425.279	404.54819
0.96852612	16378.55	405.54819
0.97967899	16255.533	406.54819
0.98548198	15666.951	407.54819
0.99401605	15444.248	408.54819
1.0007226	15393.366	409.54819
1.010662	15422.388	410.54819
1.0194222	15390.933	411.54819
1.0254629	15338.353	412.54819
1.0349834	15349.622	413.54819
1.0438824	15305.763	414.54819
1.0521854	15327.734	415.54819
1.0600942	15285.762	416.54819
1.0685683	15232.268	417.54819
1.0781214	1016.4197	418.54819
1.084617	1263.3861	419.54819
1.0929137	1454.3121	420.54819
1.1019368	1616.6576	421.54819
1.1104926	1742.0393	422.54819
1.1168637	1839.7605	423.54819
